month,start_day,end_day,"מנגו אפיל","מנגו בכיר","מנגו ערבה"
1,1,10,,,0.3
1,11,20,,,0.3
1,21,31,,,0.35
2,1,10,,,0.35
2,11,20,,,0.35
2,21,31,,,0.37
3,1,10,,,0.39
3,11,20,,,0.4
3,21,31,,,0.42
4,1,10,,,0.45
4,11,20,,,0.5
4,21,31,,,0.55
5,1,10,0.4,0.4,0.6
5,11,20,0.45,0.45,0.65
5,21,31,0.45,0.45,0.7
6,1,10,0.5,0.5,0.72
6,11,20,0.5,0.5,0.75
6,21,31,0.6,0.6,0.8
7,1,10,0.6,0.6,0.75
7,11,20,0.7,0.7,0.7
7,21,31,0.8,0.8,0.7
8,1,10,0.8,0.8,0.7
8,11,20,0.8,0.8,0.65
8,21,31,0.6,0.50322580645161,0.65
9,1,10,0.55,0.45660377358491,0.6
9,11,20,0.5,0.42222222222222,0.55
9,21,31,0.5,0.41666666666667,0.5
10,1,10,0.45,0.37894736842105,0.45
10,11,20,0.4,0.33103448275862,0.45
10,21,31,0.4,0.33333333333333,0.45
11,1,10,0.4,0.4,0.45
11,11,20,0.4,0.4,0.4
11,21,31,0.4,0.4,0.4
12,1,10,,,0.35
12,11,20,,,0.35
12,21,31,,,0.3
