month,start_day,end_day,פימה,"פימה חסכוני","פימה גליל מערבי/חוף כרמל","פימה מופחת בשיא פריחה","אקלפי ","אקלפי חסכוני","אקלפי גליל מערבי/חוף כרמל"
1,1,10,,,,,,,
1,11,20,,,,,,,
1,21,31,,,,,,,
2,1,8,,,,,,,
2,9,15,,,,,,,
2,16,23,,,,,,,
2,24,31,,,,,,,
3,1,8,,,,,,,
3,9,15,,,,,,,
3,16,23,,,,,,,
3,24,31,,,,,,,
4,1,8,,,,,,,
4,9,15,,,,,,,
4,16,23,,,,,,,
4,24,31,,,,,,,
5,1,8,,,,,,,
5,9,15,,,,,,,
5,16,23,,,,,,,
5,24,31,,,,,,,
6,1,8,0.5,0.45,0.4,0.4,,,
6,9,15,0.5,0.45,0.4,0.5,0.5,0.4,
6,16,23,0.65,0.45,0.525,0.65,0.65,0.45,0.5
6,24,31,0.7,0.5,0.6,0.7,0.7,0.55,0.55
7,1,8,0.8,0.65,0.7,0.8,0.75,0.65,0.65
7,9,15,0.85,0.75,0.8,0.595,0.8,0.65,0.75
7,16,23,0.85,0.75,0.75,0.595,0.8,0.65,0.7
7,24,31,0.8,0.7,0.7,0.6,0.75,0.65,0.65
8,1,8,0.75,0.65,0.7,0.75,0.65,0.6,0.6
8,9,15,0.65,0.55,0.55,0.65,0.5,0.4,0.5
8,16,23,0.5,0.45,0.45,0.55,0.4,0.3,
8,24,31,0.4,0.4,,0.5,,,
9,1,8,0.3,0.4,,0.45,,,
9,9,15,0.3,,,,,,
9,16,23,,,,,,,
9,24,31,,,,,,,
10,1,8,,,,,,,
10,9,15,,,,,,,
10,16,23,,,,,,,
10,24,31,,,,,,,
11,1,8,,,,,,,
11,9,15,,,,,,,
11,16,23,,,,,,,
11,24,31,,,,,,,
12,1,8,,,,,,,
12,9,15,,,,,,,
12,16,23,,,,,,,
12,24,31,,,,,,,
