month,start_day,end_day,"אג""א חול נגב - חנוך","אג""א לס נגב - חנוך","אג""א שרון-חפר","אג""א גליל עליון","אג""א גליל מערבי"
1,1,8,,,,,
1,9,15,,,,,
1,16,23,,,,,
1,24,31,,,,,
2,1,8,,,,,
2,9,15,,,,,
2,16,23,,,,,
2,24,31,,,,,
3,1,8,,,,,
3,9,15,,,,,
3,16,23,,,,,
3,24,31,,,,,
4,1,8,,,,,
4,9,15,,,,,
4,16,23,,,,,
4,24,31,0.32493907392364,,0.3,0.3,
5,1,8,0.31055900621118,0.46583850931677,0.35,0.325,
5,9,15,0.35663338088445,0.42796005706134,0.45,0.35,
5,16,23,0.55536272127733,0.55536272127733,0.55,0.45,
5,24,31,0.74374577417174,0.67613252197431,0.6,0.55,0.5
6,1,8,0.83547557840617,0.77120822622108,0.65,0.625,0.55
6,9,15,0.89342693044033,0.89342693044033,0.7,0.7,0.6
6,16,23,0.8871989860583,0.8871989860583,0.7,0.75,0.65
6,24,31,0.8125,0.8125,0.675,0.8,0.7
7,1,8,0.7660389403128,0.7660389403128,0.65,0.8,0.75
7,9,15,0.71754729288976,0.71754729288976,0.65,0.8,0.8
7,16,23,0.68212824010914,0.68212824010914,0.6,0.8,0.8
7,24,31,0.70997515086972,0.70997515086972,0.575,0.65,0.7
8,1,8,0.44411547002221,0.44411547002221,0.55,0.6,0.65
8,9,15,0.32362459546926,0.32362459546926,0.5,0.55,0.6
8,16,23,0.52447552447552,0.52447552447552,0.45,0.5,0.45
8,24,31,0.41885029124008,0.41885029124008,0.45,0.45,
9,1,8,0.31322505800464,0.31322505800464,,0.45,
9,9,15,0.21978021978022,0.21978021978022,,,
9,16,23,,,,,
9,24,31,,,,,
10,1,8,,,,,
10,9,15,,,,,
10,16,23,,,,,
10,24,31,,,,,
11,1,8,,,,,
11,9,15,,,,,
11,16,23,,,,,
11,24,31,,,,,
12,1,8,,,,,
12,9,15,,,,,
12,16,23,,,,,
12,24,31,,,,,
