month,start_day,end_day,"קיוי 1/10","קיוי 20/10"
1,1,10,,
1,11,20,,
1,21,31,,
2,1,10,,
2,11,20,,
2,21,31,,
3,1,10,,
3,11,20,,
3,21,31,,
4,1,10,0.15,0.15
4,11,20,0.15,0.15
4,21,31,0.3,0.3
5,1,10,0.35,0.35
5,11,20,0.35,0.35
5,21,31,0.4,0.4
6,1,10,0.45,0.45
6,11,20,0.6,0.6
6,21,31,0.65,0.65
7,1,10,0.75,0.75
7,11,20,0.75,0.75
7,21,31,0.75,0.75
8,1,10,0.75,0.75
8,11,20,0.85,0.85
8,21,31,0.85,0.85
9,1,10,1,0.9
9,11,20,1.2,1
9,21,31,1.2,1.2
10,1,10,1.2,1.2
10,11,20,0.55,1.2
10,21,31,0.35,0.6
11,1,10,,
11,11,20,,
11,21,31,,
12,1,10,,
12,11,20,,
12,21,31,,
