month,start_day,end_day,"מלפפון קיץ 1 יוני","מלפפון קיץ 1 יולי","מלפפון קיץ 1 אוגוסט","מלפפון קיץ 1 ספטמבר","מלפפון חורף 20 אוקטובר","מלפפון חורף 1 דצמבר","מלפפון אביב 1 אפריל","מלפפון אביב 1 מאי"
6,1,8,0.2,,,,,,,
6,9,15,0.3,,,,,,,
6,16,23,0.4,,,,,,,
6,24,31,0.6,,,,,,,
7,1,8,0.7,0.2,,,,,,
7,9,15,0.85,0.3,,,,,,
7,16,23,0.9,0.4,,,,,,
7,24,31,0.9,0.6,,,,,,
8,1,8,0.9,0.7,0.2,,,,,
8,9,15,0.8,0.85,0.3,,,,,
8,16,23,,0.9,0.4,,,,,
8,24,31,,0.9,0.5,,,,,
9,1,8,,0.9,0.6,0.2,,,,
9,9,15,,0.8,0.7,0.3,,,,
9,16,23,,,0.85,0.4,,,,
9,24,31,,,0.9,0.5,,,,
10,1,8,,,0.9,0.6,,,,
10,9,15,,,0.9,0.7,,,,
10,16,23,,,0.8,0.85,,,,
10,24,31,,,,0.9,0.2,,,
11,1,8,,,,0.9,0.3,,,
11,9,15,,,,0.9,0.3,,,
11,16,23,,,,0.8,0.4,,,
11,24,31,,,,,0.5,,,
12,1,8,,,,,0.6,0.2,,
12,9,15,,,,,0.7,0.3,,
12,16,23,,,,,0.75,0.3,,
12,24,31,,,,,0.8,0.4,,
1,1,8,,,,,0.8,0.4,,
1,9,15,,,,,0.9,0.5,,
1,16,23,,,,,0.9,0.6,,
1,24,31,,,,,0.9,0.55,,
2,1,8,,,,,0.9,0.7,,
2,9,15,,,,,0.9,0.7,,
2,16,23,,,,,0.8,0.8,,
2,24,31,,,,,0.8,0.8,,
3,1,8,,,,,0.8,0.8,,
3,9,15,,,,,,0.85,,
3,16,23,,,,,,0.9,,
3,24,31,,,,,,0.9,,
4,1,8,,,,,,0.9,0.25,
4,9,15,,,,,,0.9,0.25,
4,16,23,,,,,,0.8,0.3,
4,24,31,,,,,,0.8,0.5,
5,1,8,,,,,,0.8,0.6,0.2
5,9,15,,,,,,,0.75,0.2
5,16,23,,,,,,,0.85,0.3
5,24,31,,,,,,,0.9,0.5
6,1,8,,,,,,,0.9,0.6
6,9,15,,,,,,,0.9,0.75
6,16,23,,,,,,,0.8,0.85
6,24,31,,,,,,,,0.9
7,1,8,,,,,,,,0.9
7,9,15,,,,,,,,0.9
7,16,23,,,,,,,,0.8
7,24,31,,,,,,,,
