month,start_day,end_day,"פלפל בשטח פתוח-ערבה","פלפל בבית רשת-ערבה","פלפל בקעת הירדן"
8,1,8,,,
8,9,15,0.4,0.28,0.4
8,16,23,0.4,0.28,0.4
8,24,31,0.4,0.28,0.4
9,1,8,0.4,0.28,0.4
9,9,15,0.4,0.28,0.4
9,16,23,0.5,0.5,0.5
9,24,31,0.6,0.6,0.5
10,1,8,0.7,0.7,0.6
10,9,15,0.75,0.75,0.65
10,16,23,0.8,0.8,0.7
10,24,31,0.9,0.9,0.7
11,1,8,0.9,0.9,0.75
11,9,15,0.9,0.9,0.75
11,16,23,1,1,0.8
11,24,31,1,1,0.8
12,1,8,1,1,0.8
12,9,15,1,1,0.8
12,16,23,1,1,0.8
12,24,31,1,1,0.8
1,1,8,1,1,0.7
1,9,15,1,0.7,0.6
1,16,23,1,0.7,0.6
1,24,31,1,0.7,0.6
2,1,8,1,0.7,0.6
2,9,15,1,0.7,0.6
2,16,23,1,0.7,0.6
2,24,31,1,0.7,0.6
3,1,8,1,0.7,0.8
3,9,15,0.9,0.63,0.8
3,16,23,0.8,0.56,0.8
3,24,31,0.7,0.49,0.8
4,1,8,0.6,0.42,0.8
4,9,15,0.5,0.35,0.8
4,16,23,0.5,0.35,0.8
4,24,31,0.5,0.35,0.8
5,1,8,0.5,0.35,0.8
5,9,15,0.5,0.35,0.8
5,16,23,0.5,0.35,0.8
5,24,31,,,
6,1,8,,,
6,9,15,,,
6,16,23,,,
6,24,31,,,
7,1,8,,,
7,9,15,,,
7,16,23,,,
7,24,31,,,
