month,start_day,end_day,שקד,"שקד חסכוני"
1,1,10,,
1,11,20,,
1,21,31,,
2,1,10,,
2,11,20,,
2,21,31,,
3,1,10,,
3,11,20,,
3,21,31,,
4,1,8,0.6,0.6
4,9,15,0.6,0.6
4,16,23,0.6,0.6
4,24,31,0.6,0.6
5,1,8,0.6,0.5
5,9,15,0.6,0.5
5,16,23,0.6,0.45
5,24,31,0.6,0.35
6,1,8,0.45,0.3
6,9,15,0.4375,0.3
6,16,23,0.4125,0.3
6,24,31,0.4,0.3
7,1,8,0.4,0.2
7,9,15,0.3875,0.2
7,16,23,0.3625,0.2
7,24,31,0.35,0.2
8,1,8,0.3,0.2
8,9,15,0.3,0.2
8,16,23,0.3,0.2
8,24,31,0.3,0.2
9,1,8,0.3,0.2
9,9,15,0.3,0.2
9,16,23,0.3,0.2
9,24,31,0.3,0.2
10,1,8,0.15,0.15
10,9,15,,
10,16,23,,
10,24,31,,
11,1,8,,
11,9,15,,
11,16,23,,
11,24,31,,
12,1,8,,
12,9,15,,
12,16,23,,
12,24,31,,
