month,start_day,end_day,"תפ""א חולי - 20.1.","תפ""א לס 15.1","תפ""א לס 15.2"
1,1,8,,,
1,9,15,,,
1,16,23,,,
1,24,31,,,
2,1,8,,,
2,9,15,,,
2,16,23,,,
2,24,31,0.4,0.4,
3,1,8,0.5,0.5,
3,9,15,0.7,0.7,0.4
3,16,23,0.8,0.7,0.5
3,24,31,0.85,0.8,0.7
4,1,8,1,0.95,0.7
4,9,15,1.05,0.95,0.8
4,16,23,1.1,0.95,0.95
4,24,31,1.1,0.95,0.95
5,1,8,1.1,0.95,0.95
5,9,15,1,0.95,0.95
5,16,23,0.85,0.75,0.95
5,24,31,0.65,0.6,0.95
6,1,8,0.9,,0.9
6,9,15,0.75,,0.75
6,16,23,0.6,,0.6
6,24,31,,,
7,1,8,,,
7,9,15,,,
7,16,23,,,
7,24,31,,,
8,1,8,,,
8,9,15,,,
8,16,23,,,
8,24,31,,,
9,1,8,,,
9,9,15,,,
9,16,23,,,
9,24,31,,,
10,1,8,,,
10,9,15,,,
10,16,23,,,
10,24,31,,,
11,1,8,,,
11,9,15,,,
11,16,23,,,
11,24,31,,,
12,1,8,,,
12,9,15,,,
12,16,23,,,
12,24,31,,,
