month,start_day,end_day,תמר מג'הול ,תמר חיאני,דקל נור,ברהי,תמר יבש (חלאוי/חדראוי/אמרי),לולבים ללא פרי
1,1,10,0.4,,0.8,0.8,,
1,11,20,0.4,,0.8,0.8,,
1,21,31,0.4,,0.8,0.8,,
2,1,8,0.4,,0.8,0.8,,0.5
2,9,15,0.4,,0.8,0.8,,0.5
2,16,23,0.4,,0.8,0.8,,0.5
2,24,31,0.4,,0.8,0.8,,0.5
3,1,8,0.4,,0.8,0.8,,0.5
3,9,15,0.4,,0.8,0.8,,0.5
3,16,23,0.4,0.8,0.8,0.8,0.7,0.5
3,24,31,0.4,0.8,0.8,0.8,0.7,0.5
4,1,8,0.9,0.8,0.8,0.8,0.7,0.5
4,9,15,0.9,0.8,0.8,0.8,0.7,0.5
4,16,23,0.9,0.8,0.8,0.8,0.7,0.5
4,24,31,0.9,0.8,0.8,0.8,0.7,0.5
5,1,8,0.9,0.8,0.8,0.8,0.7,0.5
5,9,15,0.9,0.8,0.8,0.8,0.7,0.5
5,16,23,0.9,0.8,0.8,0.8,0.7,0.5
5,24,31,0.9,0.8,0.8,0.8,0.7,0.5
6,1,8,0.9,0.8,0.8,0.8,0.7,0.5
6,9,15,0.9,0.8,0.8,0.8,0.7,0.5
6,16,23,0.9,0.8,0.8,0.8,0.7,0.5
6,24,31,0.9,0.8,0.8,0.8,0.7,0.5
7,1,8,0.9,0.8,0.8,0.8,0.7,0.5
7,9,15,0.9,0.8,0.8,0.8,0.7,0.5
7,16,23,0.5,0.8,0.8,0.8,0.7,0.5
7,24,31,0.5,0.8,0.8,0.8,0.7,0.5
8,1,8,0.5,0.8,0.8,0.8,0.7,0.5
8,9,15,0.5,0.8,0.8,0.8,0.7,0.5
8,16,23,0.5,0.8,0.8,0.8,0.7,0.5
8,24,31,0.5,0.8,0.8,0.8,0.7,0.5
9,1,8,0.5,0.8,0.5,0.8,0.7,0.5
9,9,15,0.5,0.8,0.5,0.8,0.7,0.5
9,16,23,0.5,0.8,0.8,0.8,0.7,0.5
9,24,31,0.5,0.8,0.8,0.8,0.7,0.5
10,1,8,0.5,0.8,0.8,0.8,0.7,0.5
10,9,15,0.5,0.8,0.8,0.8,0.7,0.5
10,16,23,0.5,0.8,0.8,0.8,0.7,0.5
10,24,31,0.5,0.8,0.8,0.8,0.7,0.5
11,1,8,0.4,,0.8,0.8,0.7,
11,9,15,0.4,,0.8,0.8,0.7,
11,16,23,0.4,,0.8,0.8,0.7,
11,24,31,0.4,,0.8,0.8,0.7,
12,1,8,0.4,,0.8,0.8,,
12,9,15,0.4,,0.8,0.8,,
12,16,23,0.4,,0.8,0.8,,
12,24,31,0.4,,0.8,0.8,,
