month,start_day,end_day,"זית שמן","זית שמן חסכוני",בצרת,"זית מאכל","זית מאכל חסכוני","זית מאכל בית שאן/רביבים","זית שמן בית שאן/רביבים"
1,1,10,,,,,,,
1,11,20,,,,,,,
1,21,31,,,,,,,
2,1,10,,,,,,,
2,11,20,,,,,,,
2,21,31,,,,,,,
3,1,8,,,,,,,
3,9,15,,,,,,,
3,16,23,,,,,,,
3,24,31,,,,,,,0.3
4,1,8,,,,,,0.5,0.3
4,9,15,,,,,,0.5,0.3
4,16,23,0.3,,0.27,0.5,0.4,0.5,0.35
4,24,31,0.3,0.3,0.27,0.5,0.4,0.5,0.375
5,1,8,0.3,0.3,0.27,0.5,0.4,0.6,0.4
5,9,15,0.3,0.3,0.27,0.5,0.4,0.6,0.4
5,16,23,0.25,0.3,0.225,0.5,0.4,0.6,0.45
5,24,31,0.25,0.3,0.225,0.5,0.4,0.6,0.45
6,1,8,0.25,0.1,0.225,0.5,0.25,0.6,0.35
6,9,15,0.25,0.1,0.225,0.5,0.25,0.55,0.35
6,16,23,0.25,0.1,0.225,0.5,0.25,0.55,0.35
6,24,31,0.25,0.1,0.225,0.5,0.25,0.55,0.35
7,1,8,0.25,0.1,0.225,0.5,0.25,0.55,0.35
7,9,15,0.25,0.1,0.225,0.5,0.25,0.6,0.35
7,16,23,0.25,0.1,0.225,0.5,0.25,0.6,0.35
7,24,31,0.25,0.1,0.225,0.5,0.25,0.6,0.35
8,1,8,0.3,0.2,0.27,0.6,0.4,0.65,0.4
8,9,15,0.3,0.2,0.27,0.6,0.4,0.65,0.55
8,16,23,0.35,0.2,0.315,0.6,0.4,0.65,0.55
8,24,31,0.35,0.2,0.315,0.6,0.4,0.65,0.55
9,1,8,0.35,0.2,0.315,0.6,0.55,0.7,0.55
9,9,15,0.35,0.2,0.315,0.6,0.55,0.5,0.55
9,16,23,0.35,0.2,0.315,0.6,0.55,0.5,0.55
9,24,31,0.4,0.2,0.36,0.6,0.55,0.5,0.55
10,1,8,0.4,0.2,0.36,0.3,0.3,0.3,0.55
10,9,15,0.35,0.2,0.315,0.3,0.3,0.3,0.55
10,16,23,0.35,0.2,0.315,0.3,0.3,0.3,0.35
10,24,31,0.35,0.2,0.315,0.3,0.3,0.3,0.35
11,1,8,0.15,0.15,0.135,0.3,,0.3,0.3
11,9,15,0.15,,0.135,0.3,,0.3,0.3
11,16,23,0.15,,0.135,0.3,,0.3,0.15
11,24,31,0.15,,0.135,0.3,,0.3,0.15
12,1,8,,,,,,,
12,9,15,,,,,,,
12,16,23,,,,,,,
12,24,31,,,,,,,
